Reference,Bill Date,Due Date,GL Account,Payee Name,Paid,Unpaid,Paid Date,Property Name,Approval Status,GL Account Name
i7227,7/3/2024,8/2/2024,6490 - Lift Station Maintenance,A Plus Environmental Solutions,45,0,7/29/2024,Villa Solara,Approved,Building Improvements
i7491,8/8/2024,9/8/2024,6490 - Lift Station Maintenance,A Plus Environmental Solutions,"1,712.00",0,9/11/2024,Sapphire Ridge Retreat,Approved,Building Improvements
Invoice #: i7564,8/9/2024,9/8/2024,6490 - Lift Station Maintenance,A Plus Environmental Solutions,45,0,8/17/2024,Villa Solara,Approved,Building Improvements
I7826,9/5/2024,10/5/2024,6490 - Lift Station Maintenance,A Plus Environmental Solutions,45,0,9/18/2024,Villa Terra Nova,Exempt,Building Improvements
I8014,9/24/2024,10/24/2024,6490 - Lift Station Maintenance,A Plus Environmental Solutions,45,0,10/16/2024,Villa Cielo Alto,Approved,Building Improvements
i8026,9/24/2024,10/9/2024,6490 - Lift Station Maintenance,A Plus Environmental Solutions,355,0,12/18/2024,Sapphire Ridge Retreat,Approved,Building Improvements
i8083,10/2/2024,11/1/2024,6490 - Lift Station Maintenance,A Plus Environmental Solutions,45,0,10/16/2024,The Marula Nest,Approved,Building Improvements
i8214,10/21/2024,11/20/2024,6490 - Lift Station Maintenance,A Plus Environmental Solutions,820,0,11/1/2024,The Orchid Pavilion,Approved,Building Improvements
i8347,11/4/2024,12/4/2024,6490 - Lift Station Maintenance,A Plus Environmental Solutions,45,0,11/13/2024,Villa Terra Nova,Approved,Building Improvements
i8522,11/20/2024,12/5/2024,6490 - Lift Station Maintenance,A Plus Environmental Solutions,"1,025.00",0,12/18/2024,Casa Seraphina,Approved,Building Improvements
i8621,12/3/2024,1/2/2025,6490 - Lift Station Maintenance,A Plus Environmental Solutions,45,0,12/24/2024,Casa Aurora,Approved,Building Improvements
i8741,12/10/2024,1/9/2025,6490 - Lift Station Maintenance,A Plus Environmental Solutions,45,0,12/24/2024,Whispering Palms Estate,Approved,Building Improvements
i8927,1/3/2025,2/2/2025,6490 - Lift Station Maintenance,A Plus Environmental Solutions,45,0,1/26/2025,Villa Sereno,Approved,Building Improvements
i8993,1/10/2025,2/9/2025,6490 - Lift Station Maintenance,A Plus Environmental Solutions,45,0,1/23/2025,The Golden Banyan,Exempt,Building Improvements
i9242,2/4/2025,3/6/2025,6490 - Lift Station Maintenance,A Plus Environmental Solutions,640,0,2/28/2025,The Orchid Pavilion,,Building Improvements
i9265,2/5/2025,3/5/2025,6490 - Lift Station Maintenance,A Plus Environmental Solutions,50,0,2/11/2025,Whispering Palms Estate,,Building Improvements
i9580,3/6/2025,4/5/2025,6490 - Lift Station Maintenance,A Plus Environmental Solutions,50,0,3/7/2025,Villa Luna Blanca,Approved,Building Improvements
i9711,3/13/2025,3/28/2025,6490 - Lift Station Maintenance,A Plus Environmental Solutions,50,0,3/25/2025,The Velvet Horizon,Approved,Building Improvements
19908,4/2/2025,4/17/2025,6490 - Lift Station Maintenance,A Plus Environmental Solutions,640,0,4/9/2025,The Velvet Horizon,Approved,Building Improvements
i10160,4/22/2025,5/22/2025,6490 - Lift Station Maintenance,A Plus Environmental Solutions,0,50,,Casa del Mariposa,Approved,Building Improvements
i6522,4/23/2024,4/23/2024,6491 - Lift Station Emergency,A Plus Environmental Solutions,"7,500.00",0,4/26/2024,Sapphire Ridge Retreat,Approved,Building Improvements
i6586,4/26/2024,4/26/2024,6491 - Lift Station Emergency,A Plus Environmental Solutions,195,0,5/3/2024,Villa Cielo Alto,Approved,Building Improvements
i7632,8/9/2024,8/24/2024,6491 - Lift Station Emergency,A Plus Environmental Solutions,352.5,0,12/18/2024,Villa Olivetta,Approved,Building Improvements
i7870,9/11/2024,10/10/2025,6491 - Lift Station Emergency,A Plus Environmental Solutions,"1,060.20",0,12/24/2024,Sapphire Ridge Retreat,Approved,Building Improvements
i8044,9/27/2024,9/27/2024,6491 - Lift Station Emergency,A Plus Environmental Solutions,454.13,0,10/16/2024,The Velvet Horizon,Approved,Building Improvements
i8240,10/21/2024,11/5/2024,6491 - Lift Station Emergency,A Plus Environmental Solutions,"1,900.00",0,12/18/2024,Villa Sereno,Approved,Building Improvements
19457,2/24/2025,3/26/2025,6491 - Lift Station Emergency,A Plus Environmental Solutions,406.1,0,3/27/2025,Casa del Mariposa,Approved,Building Improvements
19915,4/17/2025,5/17/2025,6491 - Lift Station Emergency,A Plus Environmental Solutions,0,900,,Villa Luna Blanca,Approved,Building Improvements
"FS1782, FA94013, 126131",6/1/2024,6/30/2024,6330 - Fire Safety,A to Z Fire,"3,050.00",0,6/26/2024,Villa Cielo Alto,Approved,Building Improvements
"FS1782, FA94013, 126131",6/1/2024,6/30/2024,6330 - Fire Safety,A to Z Fire,"1,875.00",0,6/26/2024,Villa Sereno,Approved,Building Improvements
"FS1782, FA94013, 126131",6/1/2024,6/30/2024,6330 - Fire Safety,A to Z Fire,623.33,0,6/26/2024,Casa Aurora,Exempt,Building Improvements
18821,8/1/2024,8/1/2024,6210 - Repair,A&A Parts and Carts,"1,080.27",0,8/7/2024,The Orchid Pavilion,Approved,Building Improvements
19314,12/31/2024,12/31/2024,6210 - Repair,A&A Parts and Carts,"1,781.44",0,4/16/2025,The Marula Nest,Approved,Building Improvements
19327,4/15/2025,4/15/2025,6210 - Repair,A&A Parts and Carts,0,"1,697.07",,Villa Luna Blanca,Approved,Building Improvements
1007-7,5/31/2024,6/7/2024,1405 - Building Improvements,A&B Home Remodeling and Renovation LLC,"19,640.00",0,7/9/2024,Villa Terra Nova,Approved,Building Improvements
INV 1010,4/8/2024,4/8/2024,6210 - Repair,A&B Home Remodeling and Renovation LLC,"1,470.00",0,4/11/2024,The Golden Banyan,Approved,Building Improvements
INV 1011,4/8/2024,4/8/2024,6210 - Repair,A&B Home Remodeling and Renovation LLC,"1,470.00",0,4/11/2024,The Orchid Pavilion,Approved,Building Improvements
INV 1012,4/22/2024,4/22/2024,6210 - Repair,A&B Home Remodeling and Renovation LLC,280,0,5/1/2024,Villa Olivetta,Approved,Building Improvements
INV 1007-2,4/23/2024,4/23/2024,6210 - Repair,A&B Home Remodeling and Renovation LLC,"13,470.00",0,5/13/2024,Casa Aurora,Approved,Building Improvements
INV 1007-1,4/23/2024,4/23/2024,6210 - Repair,A&B Home Remodeling and Renovation LLC,"1,092.00",0,5/1/2024,Villa Sereno,Approved,Building Improvements
INV 1007-4,5/8/2024,5/8/2024,6251 - Cleaning Services,A&B Home Remodeling and Renovation LLC,280,0,5/10/2024,Villa Olivetta,Pending (1 of 1),Building Improvements
INV 1007-6,5/20/2024,5/20/2024,6251 - Cleaning Services,A&B Home Remodeling and Renovation LLC,280,0,5/24/2024,Villa Cielo Alto,Approved,Building Improvements
INV 1007-8,6/3/2024,6/3/2024,6251 - Cleaning Services,A&B Home Remodeling and Renovation LLC,280,0,6/10/2024,Villa Solara,Approved,Building Improvements
"Remove existing roof, install new roof",6/3/2024,6/3/2024,1405 - Building Improvements,A.S Permaul Roofing Inc,"58,600.00",0,6/14/2024,Villa Solara,Approved,Building Improvements
476155,4/1/2024,4/1/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,4/10/2024,The Marula Nest,Approved,Building Improvements
476407,4/9/2024,4/9/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,4/10/2024,Casa Aurora,Approved,Building Improvements
476670,4/15/2024,4/15/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,096.48",0,4/22/2024,The Golden Banyan,Approved,Building Improvements
476934,4/22/2024,4/22/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,150.40",0,4/25/2024,Villa Olivetta,Approved,Building Improvements
476936,4/22/2024,4/22/2024,6610 - Maintenance Labor,AAA Apartment Staffing,548.24,0,4/25/2024,Sapphire Ridge Retreat,Approved,Building Improvements
476935,4/22/2024,4/22/2024,6610 - Maintenance Labor,AAA Apartment Staffing,575.2,0,4/25/2024,The Golden Banyan,Approved,Building Improvements
477188,4/29/2024,4/29/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,150.40",0,5/8/2024,Casa Seraphina,Approved,Building Improvements
477189,4/29/2024,4/29/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,5/8/2024,Casa Aurora,Approved,Building Improvements
477451,5/6/2024,5/6/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,5/8/2024,Villa Olivetta,Approved,Building Improvements
477450,5/6/2024,5/6/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,150.40",0,5/8/2024,Villa Azure Cove,Approved,Building Improvements
477718,5/13/2024,5/13/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,5/24/2024,Villa Driftwood,Approved,Building Improvements
477717,5/13/2024,5/13/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,5/24/2024,Villa Sereno,Approved,Building Improvements
477975,5/20/2024,5/20/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,5/24/2024,The Velvet Horizon,Approved,Building Improvements
477974,5/20/2024,5/20/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,5/24/2024,The Velvet Horizon,Approved,Building Improvements
478228,5/28/2024,5/28/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,6/10/2024,Villa Cielo Alto,Approved,Building Improvements
478227,5/28/2024,5/28/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,6/10/2024,Villa Terra Nova,Approved,Building Improvements
478490,6/3/2024,6/3/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,150.40",0,6/10/2024,Villa Azure Cove,Approved,Building Improvements
478489,6/3/2024,6/3/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,150.40",0,6/10/2024,Villa Sereno,Approved,Building Improvements
478740,6/10/2024,6/10/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,6/26/2024,Villa Terra Nova,Exempt,Building Improvements
478739,6/10/2024,6/10/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,6/26/2024,Villa Terra Nova,Exempt,Building Improvements
478998,6/17/2024,6/17/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,6/26/2024,Whispering Palms Estate,Approved,Building Improvements
478999,6/17/2024,6/17/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,6/26/2024,Villa Olivetta,Approved,Building Improvements
479286,6/24/2024,6/24/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,150.40",0,6/28/2024,Whispering Palms Estate,Approved,Building Improvements
479287,6/24/2024,6/24/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,150.40",0,6/28/2024,The Orchid Pavilion,Exempt,Building Improvements
479561,7/1/2024,7/1/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,7/10/2024,Villa Olivetta,Approved,Building Improvements
479560,7/1/2024,7/1/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,7/10/2024,Casa Seraphina,Exempt,Building Improvements
479838,7/8/2024,7/8/2024,6610 - Maintenance Labor,AAA Apartment Staffing,862.8,0,7/16/2024,Casa Aurora,Pending (1 of 1),Building Improvements
479837,7/8/2024,7/8/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,150.40",0,7/16/2024,Whispering Palms Estate,Approved,Building Improvements
480136,7/15/2024,7/15/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,7/16/2024,The Velvet Horizon,Approved,Building Improvements
480135,7/15/2024,7/15/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,150.40",0,7/16/2024,Sapphire Ridge Retreat,Approved,Building Improvements
480433,7/22/2024,7/22/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,8/7/2024,Villa Terra Nova,Approved,Building Improvements
480432,7/22/2024,7/22/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,150.40",0,8/7/2024,Villa Cielo Alto,Approved,Building Improvements
480745,7/29/2024,7/29/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,8/7/2024,The Orchid Pavilion,Approved,Building Improvements
480744,7/29/2024,7/29/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,150.40",0,8/7/2024,Villa Solara,Approved,Building Improvements
481074,8/5/2024,8/5/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,150.40",0,8/7/2024,Villa Luna Blanca,Approved,Building Improvements
481075,8/5/2024,8/5/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,8/7/2024,Casa Seraphina,Approved,Building Improvements
481388,8/12/2024,8/12/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,9/18/2024,Casa Aurora,Approved,Building Improvements
481387,8/12/2024,8/12/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,9/18/2024,Casa Aurora,Approved,Building Improvements
481701,8/19/2024,8/19/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,9/18/2024,Villa Sereno,Approved,Building Improvements
481702,8/19/2024,8/19/2024,6610 - Maintenance Labor,AAA Apartment Staffing,862.8,0,9/18/2024,The Velvet Horizon,Approved,Building Improvements
482003,8/26/2024,8/26/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,9/18/2024,Villa Sereno,Exempt,Building Improvements
482004,8/26/2024,8/26/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,9/18/2024,Whispering Palms Estate,Exempt,Building Improvements
482304,9/3/2024,9/3/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,9/18/2024,Villa Terra Nova,Approved,Building Improvements
482303,9/3/2024,9/3/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,9/18/2024,Casa Seraphina,Approved,Building Improvements
482601,9/9/2024,9/9/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,150.40",0,9/18/2024,Villa Olivetta,Approved,Building Improvements
482600,9/9/2024,9/9/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,150.40",0,9/18/2024,The Velvet Horizon,Approved,Building Improvements
482881,9/16/2024,9/16/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,330.15",0,9/18/2024,The Golden Banyan,Approved,Building Improvements
482882,9/16/2024,9/16/2024,6610 - Maintenance Labor,AAA Apartment Staffing,862.8,0,9/18/2024,Casa Aurora,Approved,Building Improvements
483189,9/23/2024,10/31/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,11/5/2024,Villa Azure Cove,Approved,Building Improvements
483190,9/23/2024,10/31/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,11/5/2024,The Golden Banyan,Approved,Building Improvements
483477,9/30/2024,10/31/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,150.40",0,11/5/2024,The Velvet Horizon,Approved,Building Improvements
483478,9/30/2024,10/31/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,150.40",0,11/5/2024,Villa Cielo Alto,Approved,Building Improvements
483766,10/7/2024,11/7/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,11/5/2024,The Marula Nest,Approved,Building Improvements
483765,10/7/2024,11/7/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,150.40",0,11/5/2024,Villa Solara,Approved,Building Improvements
484081,10/14/2024,10/14/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,11/5/2024,Villa Terra Nova,Approved,Building Improvements
484080,10/14/2024,10/14/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,11/5/2024,Sapphire Ridge Retreat,Approved,Building Improvements
484353,10/21/2024,10/21/2024,6610 - Maintenance Labor,AAA Apartment Staffing,862.8,0,11/5/2024,Villa Terra Nova,Approved,Building Improvements
484354,10/21/2024,10/21/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,150.40",0,11/5/2024,Villa Azure Cove,Exempt,Building Improvements
484629,10/28/2024,10/28/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,11/5/2024,Casa del Mariposa,Approved,Building Improvements
484628,10/28/2024,10/28/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,402.05",0,11/5/2024,The Golden Banyan,Exempt,Building Improvements
484903,11/4/2024,11/4/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,12/13/2024,Casa del Mariposa,Approved,Building Improvements
484904,11/4/2024,11/4/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,12/13/2024,Villa Terra Nova,Exempt,Building Improvements
485172,11/11/2024,11/11/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,438.00",0,12/13/2024,Villa Terra Nova,Approved,Building Improvements
485171,11/11/2024,11/11/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,312.18",0,12/13/2024,Villa Terra Nova,Approved,Building Improvements
485433,11/18/2024,11/18/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,150.40",0,12/17/2024,Villa Sereno,Approved,Building Improvements
485434,11/18/2024,11/18/2024,6610 - Maintenance Labor,AAA Apartment Staffing,"1,150.40",0,12/17/2024,Whispering Palms Estate,Approved,Building Improvements
485700,11/25/2024,11/25/2024,6610 - Maintenance Labor,AAA Apartment Staffing,575.2,0,12/17/2024,Casa Aurora,Approved,Building Improvements
INV #7411-0324,4/1/2024,5/1/2024,7610 - Legal Expenses,AAA Landlord Services INC,51,0,4/10/2024,Villa Cielo Alto,Approved,Building Improvements
INV #7411-0324,4/1/2024,5/1/2024,7610 - Legal Expenses,AAA Landlord Services INC,102,0,4/10/2024,Villa Azure Cove,Approved,Building Improvements
INV #7411-0324,4/1/2024,5/1/2024,7610 - Legal Expenses,AAA Landlord Services INC,51,0,4/10/2024,Villa Solara,Approved,Building Improvements
INV #6697-0324,4/1/2024,5/1/2024,7610 - Legal Expenses,AAA Landlord Services INC,51,0,4/10/2024,The Orchid Pavilion,Approved,Building Improvements
INV #6697-0324,4/1/2024,5/1/2024,7610 - Legal Expenses,AAA Landlord Services INC,51,0,4/10/2024,Villa Solara,Approved,Building Improvements
INV #6697-0324,4/1/2024,5/1/2024,7610 - Legal Expenses,AAA Landlord Services INC,45,0,4/10/2024,Whispering Palms Estate,Approved,Building Improvements
INV #6697-0324,4/1/2024,5/1/2024,7610 - Legal Expenses,AAA Landlord Services INC,51,0,4/10/2024,Casa Seraphina,Approved,Building Improvements
INV #6697-0324,4/1/2024,5/1/2024,7610 - Legal Expenses,AAA Landlord Services INC,45,0,4/10/2024,Whispering Palms Estate,Approved,Building Improvements
6961-0224,4/10/2024,4/10/2024,7610 - Legal Expenses,AAA Landlord Services INC,45,0,4/10/2024,Casa del Mariposa,Approved,Building Improvements
6961-0324,4/10/2024,4/10/2024,7610 - Legal Expenses,AAA Landlord Services INC,45,0,4/10/2024,Casa Aurora,Approved,Building Improvements
6961-0324,4/10/2024,4/10/2024,7610 - Legal Expenses,AAA Landlord Services INC,45,0,4/10/2024,Villa Terra Nova,Approved,Building Improvements
INV #6697-0424,5/1/2024,6/1/2024,7610 - Legal Expenses,AAA Landlord Services INC,51,0,5/7/2024,Sapphire Ridge Retreat,Approved,Building Improvements
INV #6697-0524,6/3/2024,6/3/2024,7610 - Legal Expenses,AAA Landlord Services INC,51,0,6/10/2024,Villa Cielo Alto,Approved,Building Improvements
6961-0424,6/6/2024,6/6/2024,7610 - Legal Expenses,AAA Landlord Services INC,45,0,6/10/2024,Casa del Mariposa,Approved,Building Improvements
6697-0624,7/5/2024,7/5/2024,7610 - Legal Expenses,AAA Landlord Services INC,51,0,7/22/2024,Casa Seraphina,Approved,Building Improvements
